"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"2012","Indiana","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2017","Indiana","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2022","Indiana","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","X"
"2012","Indiana","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","4"
"2017","Indiana","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","4"
"2022","Indiana","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","6"
"2012","Indiana","Government Organization","GO0018","Total population of county governments","001","State and Local","5,580,409"
"2017","Indiana","Government Organization","GO0018","Total population of county governments","001","State and Local","5,716,736"
"2022","Indiana","Government Organization","GO0018","Total population of county governments","001","State and Local","5,834,883"
"2012","Indiana","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","469,253"
"2017","Indiana","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","481,410"
"2022","Indiana","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","461,860"
"2012","Indiana","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,716,315"
"2017","Indiana","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,789,407"
"2022","Indiana","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,815,530"
"2012","Indiana","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","1,215,269"
"2017","Indiana","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","1,236,920"
"2022","Indiana","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","1,189,863"
"2012","Indiana","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,392,834"
"2017","Indiana","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,452,698"
"2022","Indiana","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,516,028"
"2012","Indiana","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","755,732"
"2017","Indiana","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","726,459"
"2022","Indiana","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","801,818"
"2012","Indiana","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2017","Indiana","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2022","Indiana","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","X"
"2012","Indiana","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","31,006"
"2017","Indiana","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","29,842"
"2022","Indiana","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","49,784"
"2012","Iowa","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","99"
"2017","Iowa","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","99"
"2022","Iowa","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","99"
"2012","Iowa","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","52"
"2017","Iowa","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","49"
"2022","Iowa","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","46"
"2012","Iowa","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","5"
"2017","Iowa","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","5"
"2022","Iowa","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","6"
"2012","Iowa","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","14"
"2017","Iowa","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","14"
"2022","Iowa","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","15"
